City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Kruisfontein,ZA,2021-10-30 14:37:10,-34.0033,24.7314,69.89,67,3,13.96,clear sky,0,0
1,Georgetown,MY,2021-10-30 14:36:16,5.4112,100.3354,77.9,94,40,0.0,scattered clouds,0,0
2,Port Alfred,ZA,2021-10-30 14:36:19,-33.5906,26.891,68.7,74,0,18.28,clear sky,0,0
3,Thompson,CA,2021-10-30 14:36:27,55.7435,-97.8558,28.56,93,75,4.61,broken clouds,0,0
4,Tuktoyaktuk,CA,2021-10-30 14:36:28,69.4541,-133.0374,23.0,93,90,9.22,overcast clouds,0,0
5,Quatre Cocos,MU,2021-10-30 14:37:18,-20.2078,57.7625,77.09,75,51,2.98,broken clouds,0,0
6,Nuuk,GL,2021-10-30 14:41:07,64.1835,-51.7216,41.61,65,75,26.46,broken clouds,0,0
7,Yellowknife,CA,2021-10-30 14:36:31,62.456,-114.3525,27.41,99,90,11.5,light snow,0,0
8,Avarua,CK,2021-10-30 14:36:25,-21.2078,-159.775,71.65,73,75,10.36,light rain,0,0
9,Busselton,AU,2021-10-30 14:36:11,-33.65,115.3333,51.04,90,57,7.76,broken clouds,0,0
10,New Norfolk,AU,2021-10-30 14:36:14,-42.7826,147.0587,51.93,59,79,3.0,broken clouds,0,0
11,Tynda,RU,2021-10-30 14:41:08,55.1667,124.7167,18.73,56,11,2.28,few clouds,0,0
12,Atuona,PF,2021-10-30 14:36:18,-9.8,-139.0333,77.36,69,18,15.93,few clouds,0,0
13,Rikitea,PF,2021-10-30 14:36:15,-23.1203,-134.9692,74.84,83,78,21.23,broken clouds,0,0
14,Rundu,NA,2021-10-30 14:41:08,-17.9333,19.7667,90.09,27,83,7.58,broken clouds,0,0
15,Vaini,TO,2021-10-30 14:36:20,-21.2,-175.2,71.76,94,20,4.61,few clouds,0,0
16,Butaritari,KI,2021-10-30 14:36:20,3.0707,172.7902,81.64,77,92,7.54,light rain,0,0
17,Mataura,NZ,2021-10-30 14:36:12,-46.1927,168.8643,51.33,56,14,6.29,few clouds,0,0
18,Geneva,US,2021-10-30 14:37:46,41.8875,-88.3054,54.79,86,90,4.0,overcast clouds,0,0
19,Hermanus,ZA,2021-10-30 14:36:19,-34.4187,19.2345,74.8,70,31,12.44,scattered clouds,0,0
20,Arraial Do Cabo,BR,2021-10-30 14:36:25,-22.9661,-42.0278,71.46,83,90,5.75,overcast clouds,0,0
21,Kaitangata,NZ,2021-10-30 14:36:54,-46.2817,169.8464,51.15,82,85,5.01,overcast clouds,0,0
22,Hobart,AU,2021-10-30 14:34:10,-42.8794,147.3294,52.27,64,40,3.0,scattered clouds,0,0
23,Jamestown,US,2021-10-30 14:41:09,42.097,-79.2353,49.32,97,90,1.01,overcast clouds,0,0
24,Iqaluit,CA,2021-10-30 14:36:28,63.7506,-68.5145,40.73,65,75,10.0,light rain,0,0
25,Saint Anthony,US,2021-10-30 14:36:28,45.0205,-93.218,44.82,95,1,0.0,mist,0,0
26,Ushuaia,AR,2021-10-30 14:36:11,-54.8,-68.3,46.06,53,0,19.57,clear sky,0,0
27,Saskylakh,RU,2021-10-30 14:36:26,71.9167,114.0833,5.43,93,100,10.8,overcast clouds,0,0
28,Cap Malheureux,MU,2021-10-30 14:41:09,-19.9842,57.6142,77.47,73,3,9.15,clear sky,0,0
29,Carnarvon,AU,2021-10-30 14:41:10,-24.8667,113.6333,69.87,60,0,20.71,clear sky,0,0
30,Cayenne,GF,2021-10-30 14:41:10,4.9333,-52.3333,86.09,75,90,4.0,overcast clouds,0,0
31,Muros,ES,2021-10-30 14:41:10,42.7762,-9.0603,64.99,84,100,9.17,overcast clouds,0,0
32,Cape Town,ZA,2021-10-30 14:32:59,-33.9258,18.4232,71.1,39,0,17.27,clear sky,0,0
33,Marsh Harbour,BS,2021-10-30 14:37:22,26.5412,-77.0636,81.21,66,60,22.77,broken clouds,0,0
34,San Quintin,MX,2021-10-30 14:41:10,30.4833,-115.95,64.36,85,0,3.98,clear sky,0,0
35,Sabaudia,IT,2021-10-30 14:39:58,41.3003,13.0282,73.15,58,15,4.0,few clouds,0,0
36,Punta Arenas,CL,2021-10-30 14:41:11,-53.15,-70.9167,50.11,43,0,19.57,clear sky,0,0
37,Bluff,NZ,2021-10-30 14:36:19,-46.6,168.3333,53.87,60,12,18.1,few clouds,0,0
38,Kupang,ID,2021-10-30 14:41:11,-10.1667,123.5833,81.01,79,100,6.13,overcast clouds,0,0
39,The Valley,AI,2021-10-30 14:41:11,18.217,-63.0578,86.83,61,20,14.97,few clouds,0,0
40,Dejen,ET,2021-10-30 14:41:11,10.1667,38.1333,57.34,39,28,3.58,scattered clouds,0,0
41,Qaanaaq,GL,2021-10-30 14:41:11,77.484,-69.3632,1.98,54,0,8.68,clear sky,0,0
42,Tazovskiy,RU,2021-10-30 14:36:20,67.4667,78.7,16.11,95,100,12.17,light snow,0,0
43,Port Elizabeth,ZA,2021-10-30 14:36:42,-33.918,25.5701,72.1,68,20,18.41,few clouds,0,0
44,Chumikan,RU,2021-10-30 14:41:11,54.7183,135.315,18.52,78,14,7.54,few clouds,0,0
45,Dikson,RU,2021-10-30 14:36:41,73.5069,80.5464,8.65,90,100,16.62,overcast clouds,0,0
46,Franklin,US,2021-10-30 14:41:12,39.9667,-83.0166,57.13,97,90,1.99,mist,0,0
47,Pisco,PE,2021-10-30 14:36:54,-13.7,-76.2167,64.02,88,90,4.61,mist,0,0
48,Deputatskiy,RU,2021-10-30 14:36:56,69.3,139.9,-7.47,99,98,5.77,overcast clouds,0,0
49,Esperance,AU,2021-10-30 14:36:23,-33.8667,121.9,55.24,69,0,16.78,clear sky,0,0
