City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kruisfontein,ZA,69.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
1,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
2,Port Alfred,ZA,68.7,clear sky,-33.5906,26.891,The Halyards Hotel
5,Quatre Cocos,MU,77.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
6,Nuuk,GL,41.61,broken clouds,64.1835,-51.7216,Vandrehuset
8,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
9,Busselton,AU,51.04,broken clouds,-33.65,115.3333,Observatory Guest House
10,New Norfolk,AU,51.93,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Atuona,PF,77.36,few clouds,-9.8,-139.0333,Villa Enata
13,Rikitea,PF,74.84,broken clouds,-23.1203,-134.9692,People ThankYou
15,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Mataura,NZ,51.33,few clouds,-46.1927,168.8643,Ellie's Villa
18,Geneva,US,54.79,overcast clouds,41.8875,-88.3054,Best Western Inn Of St. Charles
19,Hermanus,ZA,74.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
21,Kaitangata,NZ,51.15,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
22,Hobart,AU,52.27,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
23,Jamestown,US,49.32,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Iqaluit,CA,40.73,light rain,63.7506,-68.5145,Frobisher Inn
25,Saint Anthony,US,44.82,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
26,Ushuaia,AR,46.06,clear sky,-54.8,-68.3,Albatros Hotel
28,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
29,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
31,Muros,ES,64.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
32,Cape Town,ZA,71.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,Marsh Harbour,BS,81.21,broken clouds,26.5412,-77.0636,Abaco Beach Resort
34,San Quintin,MX,64.36,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
35,Sabaudia,IT,73.15,few clouds,41.3003,13.0282,Oasi di Kufra
36,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
37,Bluff,NZ,53.87,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
38,Kupang,ID,81.01,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
40,Dejen,ET,57.34,scattered clouds,10.1667,38.1333,MAFLAB International Hotel
43,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
46,Franklin,US,57.13,mist,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
47,Pisco,PE,64.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
49,Esperance,AU,55.24,clear sky,-33.8667,121.9,Hospitality Esperance
51,Castro,BR,73.36,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
56,Sibolga,ID,77.59,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
